id,difficulty
0,C2
1,A2
2,B1
3,B1
4,C2
5,B2
6,A2
7,A2
8,C2
9,A1
10,A1
11,A2
12,B2
13,C1
14,A1
15,A2
16,B2
17,B1
18,A2
19,A1
20,C2
21,B2
22,B2
23,C1
24,B1
25,C2
26,A2
27,A1
28,B1
29,B2
30,A2
31,B1
32,A1
33,A2
34,A2
35,A2
36,B2
37,B1
38,A1
39,A1
40,A2
41,B2
42,B1
43,C1
44,C2
45,B2
46,B1
47,C2
48,A1
49,A2
50,C1
51,A1
52,B1
53,A2
54,A1
55,C1
56,B2
57,C1
58,B2
59,A2
60,B2
61,A2
62,C1
63,C1
64,B2
65,B1
66,B1
67,A2
68,B2
69,C2
70,A1
71,B1
72,B2
73,B1
74,B2
75,A2
76,B1
77,C1
78,A2
79,B2
80,A2
81,A1
82,B2
83,A2
84,A1
85,C2
86,B1
87,B1
88,C1
89,B1
90,C2
91,B1
92,B1
93,C2
94,B2
95,B1
96,B2
97,A1
98,B2
99,C2
100,B2
101,B2
102,A2
103,A2
104,C2
105,C2
106,B1
107,A2
108,A2
109,C1
110,B2
111,B1
112,C2
113,B2
114,C2
115,B1
116,C1
117,A2
118,A2
119,B2
120,B1
121,B1
122,B1
123,C1
124,A1
125,C2
126,C1
127,C2
128,C1
129,B2
130,A1
131,A1
132,C2
133,B2
134,C1
135,C2
136,A2
137,C1
138,A2
139,B1
140,A2
141,C1
142,C2
143,C2
144,B2
145,C1
146,A1
147,C2
148,C1
149,B1
150,B2
151,B2
152,A1
153,A1
154,A1
155,B2
156,C1
157,A1
158,A2
159,A2
160,A1
161,A1
162,B1
163,B2
164,C1
165,C1
166,A1
167,B2
168,B2
169,C2
170,B1
171,A2
172,A1
173,A2
174,A1
175,C1
176,C1
177,B2
178,B1
179,C2
180,A2
181,B2
182,B2
183,B1
184,C1
185,A2
186,A2
187,B1
188,C1
189,C2
190,A1
191,B2
192,B2
193,B1
194,B2
195,A1
196,C1
197,A2
198,B2
199,A2
200,C1
201,B2
202,A1
203,A1
204,C1
205,A1
206,B1
207,B1
208,A1
209,A1
210,A2
211,A1
212,A2
213,B2
214,B2
215,B2
216,B1
217,C1
218,B1
219,B2
220,B1
221,B2
222,A1
223,B1
224,A1
225,C1
226,A2
227,A2
228,A2
229,A1
230,A1
231,B2
232,C2
233,A2
234,B1
235,B2
236,C1
237,A1
238,B2
239,C2
240,B1
241,B1
242,A1
243,A1
244,B2
245,A1
246,B1
247,B1
248,A2
249,B1
250,B2
251,B2
252,A1
253,C1
254,B2
255,C2
256,B2
257,A1
258,A1
259,C2
260,A1
261,A2
262,A1
263,B1
264,B2
265,C2
266,B1
267,B1
268,B2
269,C1
270,B1
271,B1
272,A2
273,B2
274,A1
275,B2
276,B2
277,C2
278,C2
279,B2
280,A1
281,C1
282,C1
283,A2
284,A1
285,B2
286,C1
287,C2
288,C2
289,B2
290,B2
291,B1
292,A2
293,B2
294,C2
295,C2
296,C1
297,B2
298,B1
299,A1
300,A1
301,B1
302,C1
303,A1
304,B1
305,A1
306,A1
307,C1
308,C2
309,A2
310,C2
311,B1
312,C1
313,B1
314,C1
315,C2
316,A1
317,B1
318,A2
319,A1
320,C2
321,A2
322,C1
323,C2
324,A1
325,A1
326,C1
327,C1
328,A2
329,C2
330,C1
331,A2
332,A2
333,B2
334,A1
335,A2
336,A1
337,A2
338,C1
339,B2
340,B1
341,A1
342,B1
343,B1
344,C2
345,A2
346,A2
347,C1
348,A2
349,A2
350,B2
351,A2
352,C1
353,B2
354,C1
355,C2
356,A2
357,B1
358,B2
359,C2
360,A1
361,C2
362,B2
363,B2
364,B2
365,C2
366,A1
367,B1
368,A1
369,B2
370,B2
371,A2
372,B2
373,A1
374,C2
375,A2
376,A1
377,B2
378,B1
379,B1
380,A2
381,B1
382,B2
383,A2
384,C1
385,C2
386,C1
387,A1
388,C2
389,A2
390,B1
391,A2
392,A1
393,C2
394,C2
395,B2
396,A2
397,B1
398,B1
399,A1
400,B2
401,A1
402,A1
403,C2
404,B1
405,C2
406,B2
407,A1
408,A1
409,C1
410,B2
411,B2
412,C2
413,C2
414,B2
415,C1
416,C2
417,B2
418,B1
419,A2
420,A1
421,B2
422,B2
423,A1
424,A2
425,B2
426,A2
427,B2
428,B1
429,A2
430,A1
431,A1
432,B2
433,C1
434,A1
435,A1
436,C1
437,C2
438,A1
439,A1
440,B2
441,A2
442,C1
443,B2
444,A2
445,A2
446,B1
447,A1
448,C1
449,B1
450,C1
451,A1
452,A1
453,A2
