id,difficulty
0,B2
1,B1
2,B1
3,B1
4,C2
5,C2
6,A2
7,A2
8,C2
9,A2
10,A2
11,A2
12,B2
13,C1
14,A2
15,A2
16,B2
17,B1
18,A2
19,A2
20,C2
21,B2
22,B1
23,B2
24,B1
25,C2
26,A2
27,A1
28,C2
29,B2
30,A2
31,B1
32,A2
33,B1
34,B1
35,B1
36,C2
37,B1
38,A2
39,A2
40,A2
41,B2
42,B1
43,C1
44,B2
45,B2
46,B1
47,C2
48,A2
49,A2
50,C2
51,A2
52,B1
53,A2
54,A1
55,C1
56,B2
57,C1
58,B2
59,A2
60,B2
61,A2
62,B2
63,C1
64,C1
65,B1
66,B1
67,B1
68,B1
69,B2
70,A2
71,B1
72,B2
73,B1
74,B2
75,A2
76,B1
77,B2
78,B1
79,B2
80,A2
81,A2
82,B2
83,B1
84,A2
85,C1
86,B2
87,B2
88,C1
89,B1
90,C2
91,A2
92,B2
93,C1
94,B1
95,B1
96,B2
97,A2
98,B1
99,C2
100,B2
101,B2
102,A2
103,A2
104,C2
105,C2
106,A2
107,B1
108,B1
109,C1
110,B2
111,B1
112,C2
113,B2
114,C2
115,B1
116,C1
117,A2
118,A2
119,B2
120,B1
121,B2
122,B2
123,C1
124,A2
125,C1
126,C1
127,B2
128,B2
129,B2
130,A2
131,A2
132,B2
133,B1
134,C2
135,C2
136,A2
137,C1
138,B1
139,B1
140,A2
141,C1
142,C2
143,C2
144,C1
145,C1
146,A2
147,C2
148,B2
149,B1
150,B2
151,B1
152,A2
153,A2
154,A2
155,C1
156,C1
157,A1
158,A2
159,A2
160,A2
161,A2
162,B1
163,B2
164,C1
165,C1
166,A1
167,B1
168,B2
169,B2
170,B1
171,B1
172,A2
173,A2
174,A2
175,C1
176,C1
177,B2
178,B1
179,C2
180,A2
181,B2
182,B2
183,B1
184,B2
185,B1
186,A2
187,B1
188,C1
189,C2
190,A2
191,B2
192,B2
193,B1
194,B2
195,A2
196,C1
197,B1
198,C2
199,B1
200,C1
201,B2
202,A2
203,A2
204,B2
205,A2
206,B1
207,B2
208,A2
209,A2
210,B1
211,A2
212,A2
213,B2
214,B2
215,B1
216,B1
217,C2
218,B1
219,B2
220,B2
221,B2
222,A2
223,B1
224,A2
