id,difficulty
0,C2
1,B1
2,B1
3,A1
4,C2
5,C2
6,A2
7,A2
8,C2
9,A2
10,A1
11,A2
12,B1
13,C1
14,A2
15,A2
16,B2
17,A1
18,B1
19,A1
20,C2
21,B2
22,B1
23,B2
24,B1
25,C2
26,A1
27,A1
28,C2
29,B1
30,A2
31,A2
32,A1
33,B1
34,A2
35,A2
36,C1
37,B2
38,A2
39,A1
40,A2
41,B2
42,C2
43,C1
44,B2
45,C2
46,B2
47,C2
48,A1
49,A1
50,C1
51,A1
52,B2
53,A1
54,A1
55,B2
56,B2
57,B2
58,C1
59,A2
60,B2
61,A2
62,C2
63,C1
64,C1
65,B2
66,B2
67,B1
68,B2
69,C2
70,A1
71,C1
72,B2
73,B1
74,C1
75,B1
76,B2
77,C1
78,A2
79,C1
80,A2
81,A2
82,B1
83,B1
84,B1
85,B2
86,B1
87,B2
88,C2
89,B1
90,C2
91,A2
92,C1
93,C2
94,A1
95,A2
96,B2
97,A1
98,B2
99,C2
100,C1
101,B2
102,A2
103,A2
104,C2
105,C2
106,B1
107,A1
108,A2
109,C1
110,B2
111,B1
112,C1
113,B2
114,C2
115,C2
116,C2
117,A2
118,A2
119,B2
120,A2
121,B2
122,C2
123,C1
124,A2
125,C2
126,C1
127,C1
128,C1
129,C1
130,A1
131,A2
132,B2
133,C2
134,C1
135,C2
136,A2
137,C2
138,B1
139,B1
140,A1
141,C1
142,C2
143,C2
144,C1
145,A1
146,A1
147,C1
148,C2
149,B1
150,B2
151,B2
152,A2
153,A2
154,A2
155,C1
156,C1
157,A1
158,A2
159,A1
160,B1
161,A1
162,B1
163,B2
164,C2
165,C2
166,A1
167,C2
168,B1
169,B2
170,B2
171,B1
172,A1
173,B1
174,A1
175,C1
176,C1
177,B1
178,B1
179,C2
180,A2
181,C1
182,B2
183,A2
184,C1
185,A2
186,A2
187,B1
188,C2
189,C2
190,A1
191,C1
192,B2
193,B1
194,B2
195,A1
196,C2
197,A1
198,C1
199,A2
200,C1
201,B2
202,A2
203,A1
204,C2
205,A1
206,B1
207,B2
208,A2
209,A1
210,B1
211,A1
212,B1
213,B1
214,B2
215,C1
216,B2
217,C1
218,B1
219,B1
220,B2
221,C2
222,A2
223,B1
224,A1
225,C2
226,A2
227,B1
228,B1
229,A1
230,C1
231,B1
232,C2
233,A2
234,B1
235,C1
236,C1
237,A2
238,B2
239,C2
240,A2
241,B1
242,A1
243,A2
244,B2
245,A1
246,B2
247,C2
248,A2
249,B1
250,B1
251,B1
252,B2
253,C1
254,C2
255,C2
256,A2
257,A1
258,A2
259,C2
260,A2
261,B1
262,A1
263,B2
264,B2
265,C2
266,A2
267,B1
268,B2
269,C2
270,A2
271,C2
272,C2
273,C1
274,A1
275,B1
276,B2
277,B1
278,C2
279,B1
280,A1
281,C1
