id,difficulty
0,C1
1,B1
2,A1
3,A1
4,B2
5,A1
6,B2
7,A2
8,C1
9,A1
10,A1
11,A1
12,A1
13,B2
14,A1
15,A1
16,C1
17,A1
18,B1
19,A1
20,C1
21,A1
22,B2
23,C1
24,A1
25,A1
26,C1
27,A1
28,A1
29,A1
30,A1
31,A2
32,A1
33,A1
34,A1
35,B2
36,A1
37,A1
38,A1
39,A2
40,A2
41,A1
42,A1
43,C1
44,C1
45,B1
46,A1
47,B1
48,A1
49,B2
50,C1
51,A1
52,A1
53,B2
54,A1
55,A2
56,C1
57,C1
58,C1
59,A1
60,A1
61,A2
62,B2
63,B1
64,A1
65,B2
66,C1
67,A1
68,B2
69,B2
70,A1
71,B2
72,B2
73,A1
74,A1
75,A2
76,A1
77,B2
78,A1
79,A1
80,A1
81,A1
82,B2
83,B1
84,A1
85,C1
86,A1
87,B2
88,C1
89,B1
90,B2
91,A1
92,A2
93,C1
94,A1
95,B2
96,A1
97,A1
98,B1
99,A1
100,C1
101,C1
102,A1
103,A2
104,A1
105,B2
106,A1
107,A1
108,B1
109,C1
110,B2
111,A2
112,B2
113,B2
114,A1
115,A1
116,C1
117,B1
118,A1
119,B2
120,A2
121,A2
122,C2
123,B2
124,A1
125,A2
126,B1
127,B2
128,B2
129,C1
130,A1
131,A1
132,A2
133,A2
134,B2
135,A2
136,A1
137,B2
138,A1
139,A1
140,A2
141,C2
142,B1
143,C2
144,B2
145,A1
146,A1
147,B1
148,A1
149,A2
150,A2
151,B2
152,A1
153,A1
154,A1
155,B1
156,A2
157,A1
158,A1
159,A2
160,A1
161,A1
162,B2
163,A1
164,B2
165,C2
166,A1
167,A1
168,C1
169,A1
170,A1
171,A1
172,A1
173,A1
174,B2
175,B2
176,B2
177,C1
178,A2
179,A2
180,A2
181,A1
182,B2
183,B2
184,A1
185,B2
186,A1
187,A2
188,B2
189,A2
190,B2
191,A2
192,A1
193,B1
194,B1
195,A2
196,C1
197,A1
198,B2
199,A1
200,B2
201,B1
202,A2
203,A2
204,A1
205,A1
206,A1
207,A2
208,B2
209,A1
210,B1
211,A2
212,A1
213,A2
214,A1
215,B2
216,B2
217,B2
218,A1
219,B2
220,C1
221,B1
222,A1
223,B2
224,A1
225,C1
226,A2
227,A2
228,A1
229,A1
230,B2
231,A1
232,B2
233,A2
234,A1
235,B2
236,C1
237,A1
238,A1
239,A1
240,A2
241,A1
242,A1
243,A2
244,B2
245,A2
246,B2
247,B2
248,A1
249,B1
250,B2
251,B1
252,A1
253,A1
254,C1
255,C2
256,A2
257,A1
258,B2
259,C2
260,A1
261,A1
262,A1
263,C1
264,A1
265,A1
266,B1
267,A2
268,B2
269,B2
270,A1
271,A1
272,A1
273,B2
274,A1
275,B2
276,B2
277,A1
278,A1
279,B2
280,A1
281,C1
282,B2
283,A1
284,C1
285,B2
286,C1
287,C2
288,B2
289,A1
290,B2
291,A2
292,A2
293,B2
294,B2
295,B2
296,A1
297,A1
298,B2
299,A1
300,B2
301,A1
302,C1
303,A1
304,A2
305,A1
306,A1
307,C1
308,B2
309,B2
310,B2
311,B2
312,B2
313,B2
314,B1
315,A1
316,A2
317,B2
318,A2
319,A1
320,B2
321,A1
